"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100n","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C3,C4","100p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"J1","Conn_01x16_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Horizontal","1",""
"R1,R2,R17,R18","2k7","~","Resistor_SMD:R_0805_2012Metric","4",""
"R3","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4,R16","1k8","~","Resistor_SMD:R_0805_2012Metric","2",""
"R5","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6,R15","33R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R7,R11,R13","3k3","~","Resistor_SMD:R_0805_2012Metric","3",""
"R8,R9,R10,R12,R14","2k2","~","Resistor_SMD:R_0805_2012Metric","5",""
"U1","OPA1679","http://www.ti.com/lit/ds/symlink/opa1678.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
