Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",49.353500,-19.558000,0.000000,top
"C2","100n","C_0805_2012Metric",38.862000,-19.812000,90.000000,top
"C3","100p","C_0805_2012Metric",35.891500,-24.892000,180.000000,top
"C4","100p","C_0805_2012Metric",36.042000,-15.936000,90.000000,top
"R1","2k7","R_0805_2012Metric",43.662000,-26.416000,180.000000,top
"R2","2k7","R_0805_2012Metric",32.613000,-23.876000,-90.000000,top
"R3","10k","R_0805_2012Metric",51.893500,-22.860000,180.000000,top
"R4","1k8","R_0805_2012Metric",51.893500,-26.096000,0.000000,top
"R5","1k","R_0805_2012Metric",48.742000,-24.384000,-90.000000,top
"R6","33R","R_0805_2012Metric",40.002500,-26.924000,0.000000,top
"R7","3k3","R_0805_2012Metric",36.042000,-22.733000,180.000000,top
"R8","2k2","R_0805_2012Metric",29.464000,-20.508000,0.000000,top
"R9","2k2","R_0805_2012Metric",28.956000,-23.302000,-90.000000,top
"R10","2k2","R_0805_2012Metric",52.909500,-17.272000,180.000000,top
"R11","3k3","R_0805_2012Metric",34.010000,-26.924000,0.000000,top
"R12","2k2","R_0805_2012Metric",28.194000,-17.714000,0.000000,top
"R13","3k3","R_0805_2012Metric",32.994000,-19.558000,180.000000,top
"R14","2k2","R_0805_2012Metric",49.353500,-17.272000,180.000000,top
"R15","33R","R_0805_2012Metric",31.978000,-16.190000,180.000000,top
"R16","1k8","R_0805_2012Metric",22.834000,-16.256000,0.000000,top
"R17","2k7","R_0805_2012Metric",38.862000,-15.936000,90.000000,top
"R18","2k7","R_0805_2012Metric",28.168000,-15.494000,0.000000,top
"U1","OPA1679","SOIC-14_3.9x8.7mm_P1.27mm",43.765500,-20.828000,0.000000,top
